idx,text,main_heading,heading,topic,paper_idx,BIO,BIO_1,BIO_2,offset1,pro1,offset2,pro2,offset3,pro3,mask,bi_labels,labels
192,"When we replaced the entire similarity focus layer with a random dropout layer ( p = 0.3 ) , the dropout layer hurts accuracy ; this shows the importance of directing the model to focus on important pairwise word interactions , to better capture similarity .",Ablation Studies .,Ablation Studies .,natural_language_inference,39,"['O', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'B-n', 'B-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'O', 'O', 'O', 'O', 'B-b', 'B-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",5,0.3333333333333333,191,0.9271844660194175,17,0.6296296296296297,1,1,ablation-analysis
2,DCN + : MIXED OBJECTIVE AND DEEP RESIDUAL COATTENTION FOR QUESTION ANSWERING,title,title,natural_language_inference,4,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'I']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-n', 'I-n']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ob', 'I-ob']",1,0.0,1,0.005050505050505051,1,0.0,1,1,research-problem
18,"To address this problem , we propose a mixed objective that combines traditional cross entropy loss over positions with a measure of word overlap trained with reinforcement learning .",INTRODUCTION,INTRODUCTION,natural_language_inference,4,"['O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'B', 'I', 'I', 'I', 'B', 'B', 'B', 'O', 'B', 'I', 'I', 'I', 'B', 'I', 'B', 'I', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'B-n', 'I-n', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'O', 'B-p', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'B-ob', 'B-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'B-ob', 'I-ob', 'O']",8,0.07142857142857142,17,0.08585858585858586,8,0.5333333333333333,1,1,model
19,We obtain the latter objective using self - critical policy learning in which the reward is based on word overlap between the proposed answer and the ground truth answer .,INTRODUCTION,INTRODUCTION,natural_language_inference,4,"['O', 'B', 'O', 'B', 'I', 'B', 'B', 'I', 'I', 'I', 'I', 'B', 'I', 'O', 'B', 'O', 'B', 'I', 'B', 'I', 'B', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'I', 'O']","['O', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'O', 'O', 'B-n', 'I-n', 'I-n', 'O']","['O', 'B-p', 'O', 'B-b', 'I-b', 'B-p', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'O', 'B-b', 'O', 'B-p', 'I-p', 'B-b', 'I-b', 'B-p', 'O', 'B-ob', 'I-ob', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'O']",9,0.08035714285714286,18,0.09090909090909091,9,0.6,1,1,model
22,"In addition to our mixed training objective , we extend the Dynamic Coattention Network ( DCN ) by with a deep residual coattention encoder .",INTRODUCTION,INTRODUCTION,natural_language_inference,4,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'O', 'B-p', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",12,0.10714285714285714,21,0.10606060606060606,12,0.8,1,1,model
126,"To preprocess the corpus , we use the reversible tokenizer from Stanford CoreNLP .",EXPERIMENTS,EXPERIMENTS,natural_language_inference,4,"['O', 'B', 'O', 'B', 'O', 'O', 'B', 'O', 'B', 'I', 'B', 'B', 'I', 'O']","['O', 'B-p', 'O', 'B-n', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'O']","['O', 'B-p', 'O', 'B-b', 'O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'O']",3,0.21428571428571427,125,0.6313131313131313,3,0.07894736842105263,1,1,experimental-setup
127,"For word embeddings , we use GloVe embeddings pretrained on the 840B Common Crawl corpus as well as character ngram embeddings by .",EXPERIMENTS,EXPERIMENTS,natural_language_inference,4,"['B', 'B', 'I', 'O', 'O', 'B', 'B', 'I', 'B', 'I', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-p', 'B-n', 'I-n', 'O', 'O', 'B-p', 'B-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-p', 'B-b', 'I-b', 'O', 'O', 'B-p', 'B-b', 'I-b', 'B-p', 'I-p', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",4,0.2857142857142857,126,0.6363636363636364,4,0.10526315789473684,1,1,experimental-setup
128,"In addition , we concatenate these embeddings with context vectors ( CoVe ) trained on .",EXPERIMENTS,EXPERIMENTS,natural_language_inference,4,"['O', 'O', 'O', 'O', 'B', 'B', 'I', 'B', 'B', 'I', 'I', 'I', 'I', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-p', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'B-p', 'B-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O']",5,0.35714285714285715,127,0.6414141414141414,5,0.13157894736842105,1,1,experimental-setup
129,"For out of vocabulary words , we set the embeddings and context vectors to zero .",EXPERIMENTS,EXPERIMENTS,natural_language_inference,4,"['O', 'B', 'I', 'I', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'B', 'B', 'O']","['O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'O']","['O', 'B-b', 'I-b', 'I-b', 'I-b', 'O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'B-ob', 'O']",6,0.42857142857142855,128,0.6464646464646465,6,0.15789473684210525,1,1,experimental-setup
130,We perform word dropout on the document which zeros a word embedding with probability 0.075 .,EXPERIMENTS,EXPERIMENTS,natural_language_inference,4,"['O', 'B', 'B', 'I', 'B', 'O', 'B', 'O', 'B', 'O', 'B', 'I', 'B', 'B', 'I', 'O']","['O', 'B-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'O', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'O']","['O', 'B-p', 'B-b', 'I-b', 'B-p', 'O', 'B-b', 'O', 'B-p', 'O', 'B-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'O']",7,0.5,129,0.6515151515151515,7,0.18421052631578946,1,1,experimental-setup
131,"In addition , we swap the first maxout layer of the highway maxout network in the DCN decoder with a sparse mixture of experts layer .",EXPERIMENTS,EXPERIMENTS,natural_language_inference,4,"['O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'B', 'O', 'B', 'I', 'I', 'B', 'O', 'B', 'I', 'B', 'O', 'B', 'I', 'B', 'B', 'I', 'O']",,,8,0.5714285714285714,130,0.6565656565656566,8,0.21052631578947367,1,1,experimental-setup
135,Comparison to baseline DCN with CoVe. DCN + outperforms the baseline by 3.2 % exact match accuracy and 3.2 % F1 on the SQuAD development set .,EXPERIMENTS,EXPERIMENTS,natural_language_inference,4,"['B', 'I', 'O', 'O', 'O', 'O', 'B', 'I', 'B', 'O', 'B', 'B', 'B', 'I', 'I', 'I', 'I', 'O', 'B', 'I', 'I', 'B', 'O', 'B', 'I', 'I', 'O']","['B-p', 'I-p', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O']","['B-p', 'I-p', 'O', 'O', 'O', 'O', 'B-b', 'I-b', 'B-p', 'O', 'B-b', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'B-ob', 'I-ob', 'I-ob', 'B-p', 'O', 'B-b', 'I-b', 'I-b', 'O']",12,0.8571428571428571,134,0.6767676767676768,12,0.3157894736842105,1,1,results
136,"shows the consistent performance gain of DCN + over the baseline across question types , question lengths , and answer lengths .",EXPERIMENTS,EXPERIMENTS,natural_language_inference,4,"['B', 'O', 'B', 'I', 'I', 'B', 'B', 'I', 'B', 'O', 'B', 'B', 'B', 'I', 'O', 'B', 'I', 'O', 'O', 'B', 'I', 'O']","['B-p', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'B-p', 'B-n', 'I-n', 'O', 'B-n', 'I-n', 'O', 'O', 'B-n', 'I-n', 'O']","['B-p', 'O', 'B-b', 'I-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'B-p', 'O', 'B-ob', 'B-p', 'B-ob', 'I-ob', 'O', 'B-ob', 'I-ob', 'O', 'O', 'B-ob', 'I-ob', 'O']",13,0.9285714285714286,135,0.6818181818181818,13,0.34210526315789475,1,1,results
137,"In particular , DCN + provides a significant advantage for long questions .",EXPERIMENTS,EXPERIMENTS,natural_language_inference,4,"['O', 'O', 'O', 'B', 'I', 'B', 'O', 'B', 'I', 'B', 'B', 'I', 'O']","['O', 'O', 'O', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'O']","['O', 'O', 'O', 'B-b', 'I-b', 'B-p', 'O', 'B-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'O']",14,1.0,136,0.6868686868686869,14,0.3684210526315789,1,1,results
140,"We note that the deep residual coattention yielded the highest contribution to model performance , followed by the mixed objective .",Ablation study .,Ablation study .,natural_language_inference,4,"['O', 'B', 'O', 'O', 'B', 'I', 'I', 'B', 'O', 'B', 'I', 'B', 'B', 'I', 'O', 'B', 'I', 'O', 'B', 'I', 'O']","['O', 'B-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'O', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'O']","['O', 'B-p', 'O', 'O', 'B-b', 'I-b', 'I-b', 'B-p', 'O', 'B-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'O', 'B-p', 'I-p', 'O', 'B-ob', 'I-ob', 'O']",2,0.043478260869565216,139,0.702020202020202,17,0.4473684210526316,1,1,ablation-analysis
141,The sparse mixture of experts layer in the decoder added minor improvements to the model performance . :,Ablation study .,Ablation study .,natural_language_inference,4,"['O', 'B', 'I', 'B', 'B', 'I', 'B', 'O', 'B', 'B', 'B', 'I', 'B', 'O', 'B', 'I', 'O', 'O']","['O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'B-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'O', 'O']","['O', 'B-b', 'I-b', 'B-p', 'B-b', 'I-b', 'B-p', 'O', 'B-ob', 'B-p', 'B-b', 'I-b', 'B-p', 'O', 'B-ob', 'I-ob', 'O', 'O']",3,0.06521739130434782,140,0.7070707070707071,18,0.47368421052631576,1,1,ablation-analysis
2,Linguistic Knowledge as Memory for Recurrent Neural Networks,title,,natural_language_inference,40,"['O', 'O', 'O', 'O', 'O', 'B', 'I', 'I']","['O', 'O', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n']","['O', 'O', 'O', 'O', 'O', 'B-ob', 'I-ob', 'I-ob']",1,0.0,1,0.0036101083032490976,1,0.0,1,1,research-problem
4,Training recurrent neural networks to model long term dependencies is difficult .,abstract,abstract,natural_language_inference,40,"['B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'O', 'O']","['B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O']","['B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O']",1,0.14285714285714285,3,0.010830324909747292,1,0.14285714285714285,1,1,research-problem
40,"Instead , we utilize the order inherent in the the unaugmented sequence to decompose the graph into two Directed Acyclic Graphs ( DAGs ) with a topological ordering .",Introduction,Introduction,natural_language_inference,40,"['O', 'O', 'O', 'B', 'O', 'B', 'I', 'B', 'O', 'O', 'B', 'I', 'B', 'I', 'O', 'B', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'B', 'O', 'B', 'I', 'O']","['O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'B-p', 'O', 'O', 'B-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'O']","['O', 'O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'B-p', 'O', 'O', 'B-ob', 'I-ob', 'B-p', 'I-p', 'O', 'B-b', 'B-p', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'B-p', 'O', 'B-ob', 'I-ob', 'O']",29,0.7631578947368421,39,0.1407942238267148,29,0.7631578947368421,1,1,approach
41,"We introduce the Memory as Acyclic Graph Encoding RNN ( MAGE - RNN ) framework to compute the representation of such graphs while touching every node only once , and implement a GRU version of it called MAGE - GRU .",Introduction,Introduction,natural_language_inference,40,"['O', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'B', 'I', 'O', 'B', 'B', 'O', 'B', 'B', 'B', 'B', 'B', 'B', 'I', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'B', 'B', 'I', 'I', 'O']","['O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'O', 'B-n', 'B-p', 'O', 'B-n', 'B-p', 'B-n', 'B-p', 'B-n', 'B-n', 'I-n', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'O', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'O']","['O', 'B-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'O', 'B-b', 'B-p', 'O', 'B-ob', 'B-p', 'B-b', 'B-p', 'B-ob', 'B-ob', 'I-ob', 'O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'O', 'O', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'O']",30,0.7894736842105263,40,0.1444043321299639,30,0.7894736842105263,1,1,approach
42,"MAGE - RNN learns separate representations for propagation along each edge type , which leads to superior performance empirically .",Introduction,Introduction,natural_language_inference,40,"['B', 'I', 'I', 'B', 'B', 'I', 'B', 'B', 'B', 'B', 'I', 'I', 'O', 'O', 'B', 'I', 'B', 'I', 'I', 'O']","['B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'B-p', 'B-n', 'B-p', 'B-n', 'I-n', 'I-n', 'O', 'O', 'B-p', 'I-p', 'B-n', 'I-n', 'I-n', 'O']","['B-b', 'I-b', 'I-b', 'B-p', 'B-b', 'I-b', 'B-p', 'B-b', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'O', 'O', 'B-p', 'I-p', 'B-ob', 'I-ob', 'I-ob', 'O']",31,0.8157894736842105,41,0.148014440433213,31,0.8157894736842105,1,1,approach
44,"We use MAGE - RNN to model coreference relations for text comprehension tasks , where answers to a query have to be extracted from a context document .",Introduction,Introduction,natural_language_inference,40,"['O', 'B', 'B', 'I', 'I', 'B', 'I', 'B', 'I', 'B', 'B', 'I', 'I', 'O', 'B', 'B', 'I', 'I', 'I', 'B', 'I', 'I', 'I', 'I', 'O', 'B', 'I', 'O']","['O', 'B-p', 'B-n', 'I-n', 'I-n', 'B-p', 'I-p', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'O', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'I-p', 'I-p', 'I-p', 'O', 'B-n', 'I-n', 'O']","['O', 'B-p', 'B-b', 'I-b', 'I-b', 'B-p', 'I-p', 'B-b', 'I-b', 'B-p', 'B-b', 'I-b', 'I-b', 'O', 'B-p', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'I-p', 'I-p', 'I-p', 'O', 'B-ob', 'I-ob', 'O']",33,0.868421052631579,43,0.1552346570397112,33,0.868421052631579,1,1,approach
45,Tokens in a document are connected by a coreference relation if they refer to the same underlying entity .,Introduction,Introduction,natural_language_inference,40,"['B', 'B', 'O', 'B', 'O', 'B', 'I', 'O', 'B', 'I', 'B', 'O', 'B', 'B', 'O', 'B', 'I', 'I', 'O']","['B-n', 'B-p', 'O', 'B-n', 'O', 'B-p', 'I-p', 'O', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'O']","['B-b', 'B-p', 'O', 'B-ob', 'O', 'B-p', 'I-p', 'O', 'B-b', 'I-b', 'B-p', 'O', 'B-b', 'B-p', 'O', 'B-ob', 'I-ob', 'I-ob', 'O']",34,0.8947368421052632,44,0.1588447653429603,34,0.8947368421052632,1,1,approach
171,Story Based,Experiments,,natural_language_inference,40,"['B', 'I']","['B-n', 'I-n']","['B-b', 'I-b']",28,0.5,170,0.6137184115523465,1,0.034482758620689655,1,1,results
182,"Our model achieves new state - of - the - art results , outperforming strong baselines such as QRNs .",Experiments,Story Based,natural_language_inference,40,"['B', 'I', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'O', 'B', 'B', 'I', 'B', 'I', 'B', 'O']","['B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-n', 'B-n', 'I-n', 'B-p', 'I-p', 'B-n', 'O']","['B-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'B-b', 'B-b', 'I-b', 'B-p', 'I-p', 'B-ob', 'O']",39,0.6964285714285714,181,0.6534296028880866,12,0.41379310344827586,1,1,results
183,"Moreover , we observe that the proposed MAGE architecture can substantially improve the performance for both bi - GRUs and GAs .",Experiments,Story Based,natural_language_inference,40,"['O', 'O', 'O', 'B', 'O', 'O', 'B', 'I', 'I', 'O', 'B', 'I', 'O', 'B', 'B', 'B', 'I', 'I', 'I', 'I', 'I', 'O']","['O', 'O', 'O', 'B-p', 'O', 'O', 'B-n', 'I-n', 'I-n', 'O', 'B-n', 'I-n', 'O', 'B-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O']","['O', 'O', 'O', 'B-p', 'O', 'O', 'B-b', 'I-b', 'I-b', 'O', 'B-b', 'I-b', 'O', 'B-b', 'B-p', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'I-ob', 'O']",40,0.7142857142857143,182,0.6570397111913358,13,0.4482758620689655,1,1,results
184,"Adding the same information as one - hot features fails to improve the performance , which indicates that the inductive bias we employ on MAGE is useful .",Experiments,Story Based,natural_language_inference,40,"['B', 'O', 'B', 'I', 'B', 'B', 'I', 'I', 'I', 'B', 'I', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-p', 'O', 'B-n', 'I-n', 'B-p', 'B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'I-p', 'B-n', 'O', 'B-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-p', 'O', 'B-b', 'I-b', 'B-p', 'B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'I-p', 'B-b', 'O', 'B-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",41,0.7321428571428571,183,0.6606498194945848,14,0.4827586206896552,1,1,results
185,"The DAG - RNN baseline from and the shared version of MAGE ( where edge representations are tied ) also perform worse , showing that our proposed architecture is superior .",Experiments,Story Based,natural_language_inference,40,"['O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'B', 'I', 'I', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B', 'B', 'O', 'B', 'O', 'B', 'I', 'I', 'B', 'B', 'O']","['O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'B-n', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'B-p', 'B-n', 'O']","['O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'B-ob', 'I-ob', 'I-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-p', 'B-b', 'O', 'B-p', 'O', 'B-b', 'I-b', 'I-b', 'B-p', 'B-ob', 'O']",42,0.75,184,0.6642599277978339,15,0.5172413793103449,1,1,results
203,"Both variants of MAGE substantially outperform QRNs , which are the current state - of - the - art models on the bAbi dataset .",Model,Model,natural_language_inference,40,"['B', 'I', 'I', 'I', 'B', 'I', 'B', 'O', 'O', 'B', 'O', 'B', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'I', 'B', 'O', 'B', 'I', 'O']","['B-n', 'I-n', 'I-n', 'I-n', 'B-n', 'I-n', 'B-n', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'I-n', 'B-p', 'O', 'B-n', 'I-n', 'O']","['B-b', 'I-b', 'I-b', 'I-b', 'B-b', 'I-b', 'B-b', 'O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'I-b', 'B-p', 'O', 'B-ob', 'I-ob', 'O']",3,0.04918032786885246,202,0.7292418772563177,3,0.05,1,1,results
220,Broad Context Language Modeling :,Model,Model,natural_language_inference,40,"['B', 'I', 'I', 'I', 'O']","['B-n', 'I-n', 'I-n', 'I-n', 'O']","['B-b', 'I-b', 'I-b', 'I-b', 'O']",20,0.32786885245901637,219,0.7906137184115524,20,0.3333333333333333,1,1,results
221,"For our second benchmark we pick the LAMBADA dataset from , where the task is to predict the last word in a given passage .",Model,Model,natural_language_inference,40,"['O', 'O', 'O', 'O', 'O', 'B', 'O', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'B-p', 'O', 'B-b', 'I-b', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",21,0.3442622950819672,220,0.7942238267148014,21,0.35,1,1,results
232,"Our implementation of GA gave higher performance than that reported by , without the use of linguistic features .",Model,Model,natural_language_inference,40,"['B', 'I', 'I', 'I', 'B', 'B', 'I', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-n', 'I-n', 'I-n', 'I-n', 'B-p', 'B-n', 'I-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-b', 'I-b', 'I-b', 'I-b', 'B-p', 'B-ob', 'I-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",32,0.5245901639344263,231,0.8339350180505415,32,0.5333333333333333,1,1,results
234,"On the simple bi - GRU architecture we see an improvement of 1.7 % by incorporating coreference edges in the graph , whereas the one - hot baseline does not lead to any improvement .",Model,Model,natural_language_inference,40,"['B', 'O', 'B', 'I', 'I', 'I', 'I', 'O', 'B', 'O', 'B', 'B', 'B', 'I', 'B', 'I', 'B', 'I', 'B', 'O', 'B', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-p', 'O', 'B-n', 'I-n', 'I-n', 'I-n', 'I-n', 'O', 'B-p', 'O', 'B-n', 'B-p', 'B-n', 'I-n', 'B-p', 'I-p', 'B-n', 'I-n', 'B-p', 'O', 'B-n', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['B-p', 'O', 'B-b', 'I-b', 'I-b', 'I-b', 'I-b', 'O', 'B-p', 'O', 'B-b', 'B-p', 'B-b', 'I-b', 'B-p', 'I-p', 'B-b', 'I-b', 'B-p', 'O', 'B-ob', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",34,0.5573770491803278,233,0.8411552346570397,34,0.5666666666666667,1,1,results
