labels,text,predicates,subj/obj,triple_A,triple_B,triple_C,triple_D
results,This is significantly better than all of the others except for the combination of CNN and DNN .,"[('than', (4, 5)), ('except for', (9, 11))]","[('significantly better', (2, 4)), ('all of the others', (5, 9)), ('combination of CNN and DNN', (12, 17))]",[],[],[],[]
results,For data set W OS ? 46985 the best scores are again achieved by RNN for level one but this time with RNN for level 2 .,"[('achieved by', (12, 14)), ('for', (15, 16))]","[('data set W OS ? 46985', (1, 7)), ('best scores', (8, 10)), ('RNN', (14, 15)), ('RNN', (22, 23))]",[],[],[],[]
results,"Document classification is an important problem to address , given the growing size of scientific literature and other document sets .",[],"[('Document classification', (0, 2))]",[],[],[],[]
baselines,"This paper introduces a new approach to hierarchical document classification , HDLTex , that combines multiple deep learning approaches to produce hierarchical classifications .","[('combines', (14, 15))]","[('hierarchical document classification', (7, 10)), ('HDLTex', (11, 12))]",[],[],[],[]
results,Testing on a data set of documents obtained from the Web of Science shows that combinations of RNN at the higher level and DNN or CNN at the lower level produced accuracies consistently higher than those obtainable by conventional approaches using nave Bayes or SVM .,"[('Testing on', (0, 2)), ('shows', (13, 14)), ('of', (16, 17)), ('at', (18, 19)), ('at', (26, 27)), ('produced', (30, 31)), ('than', (34, 35)), ('obtainable by', (36, 38)), ('using', (40, 41))]","[('combinations', (15, 16)), ('RNN', (17, 18)), ('higher level', (20, 22)), ('DNN or CNN', (23, 26)), ('lower level', (28, 30)), ('accuracies', (31, 32)), ('consistently higher', (32, 34)), ('conventional approaches', (38, 40)), ('nave Bayes or SVM', (41, 45))]",[],[],[],[]
research-problem,Explicit Interaction Model towards Text Classification,[],[],[],[],[],[]
research-problem,Text classification is one of the fundamental tasks in natural language processing .,[],"[('Text classification', (0, 2))]",[],[],[],[]
model,"Thereafter , a fullyconnected ( FC ) layer at the topmost of the network is appended to make the final decision .","[('at', (8, 9)), ('appended', (15, 16)), ('to make', (16, 18))]","[('fullyconnected ( FC ) layer', (3, 8)), ('topmost of the', (10, 13)), ('network', (13, 14)), ('final decision', (19, 21))]",[],[],[],[]
model,"Mathematically , it interprets the parameter matrix of the FC layer as a set of class representations ( each column is associated with a class ) .","[('interprets', (3, 4)), ('of', (7, 8)), ('as', (11, 12))]","[('parameter matrix', (5, 7)), ('FC layer', (9, 11)), ('set', (13, 14)), ('class representations', (15, 17))]",[],[],[],[]
model,"To address the aforementioned problems , we introduce the interaction mechanism ( Wang and Jiang 2016 b ) , which is capable of incorporating the word - level matching signals for text classification .","[('introduce', (7, 8)), ('capable of incorporating', (21, 24)), ('for', (30, 31))]","[('interaction mechanism', (9, 11)), ('word - level matching signals', (25, 30)), ('text classification', (31, 33))]",[],[],[],[]
model,"From the word - level representation , it computes an interaction matrix , in which each entry is the matching score between a word and a class ( dot -product between their representations ) , illustrating the word - level matching signals .","[('From', (0, 1)), ('computes', (8, 9)), ('in which', (13, 15)), ('is', (17, 18)), ('between', (21, 22)), ('between', (30, 31)), ('illustrating', (35, 36))]","[('word - level representation', (2, 6)), ('interaction matrix', (10, 12)), ('each entry', (15, 17)), ('matching score', (19, 21)), ('word and a class ( dot -product', (23, 30)), ('word - level matching signals', (37, 42))]",[],[],[],[]
model,"Based upon the interaction mechanism , we devise an EXplicit interAction Model ( dubbed as EXAM ) .","[('Based upon', (0, 2)), ('devise', (7, 8)), ('as', (14, 15))]","[('EXplicit interAction Model ( dubbed', (9, 14))]",[],[],[],[]
model,"Specifically , the proposed framework consists of three main components : word - level encoder , interaction layer , and aggregation layer .","[('consists of', (5, 7))]","[('three main components', (7, 10)), ('word - level encoder', (11, 15)), ('interaction layer', (16, 18)), ('aggregation layer', (20, 22))]",[],[],[],[]
model,The word - level encoder projects the textual contents into the word - level representations .,"[('projects', (5, 6)), ('into', (9, 10))]","[('word - level encoder', (1, 5)), ('textual contents', (7, 9)), ('word - level representations', (11, 15))]",[],[],[],[]
model,"Hereafter , the interaction layer calculates the matching scores between the words and classes ( i.e. , constructs the interaction matrix ) .","[('calculates', (5, 6)), ('between', (9, 10)), ('constructs', (17, 18))]","[('interaction layer', (3, 5)), ('matching scores', (7, 9)), ('words and classes', (11, 14)), ('interaction matrix', (19, 21))]",[],[],[],[]
model,"In summary , the contributions of this work are threefold : We present a novel framework , EXAM , which leverages the interaction mechanism to explicitly compute the wordlevel interaction signals for the text classification .","[('present', (12, 13)), ('leverages', (20, 21)), ('to explicitly compute', (24, 27)), ('for', (31, 32))]","[('threefold', (9, 10)), ('novel framework', (14, 16)), ('EXAM', (17, 18)), ('interaction mechanism', (22, 24)), ('wordlevel interaction signals', (28, 31)), ('text classification', (33, 35))]",[],[],[],[]
experimental-setup,"For the multi -class task , we chose region embedding as the Encoder in EXAM .","[('For', (0, 1)), ('chose', (7, 8)), ('as', (10, 11))]","[('multi -class task', (2, 5)), ('region embedding', (8, 10)), ('Encoder in EXAM', (12, 15))]",[],[],[],[]
experimental-setup,The region size is 7 and embedding size is 128 .,"[('is', (3, 4)), ('is', (8, 9))]","[('region size', (1, 3)), ('7', (4, 5)), ('embedding size', (6, 8)), ('128', (9, 10))]",[],[],[],[]
experimental-setup,We used adam ( Kingma and Ba 2014 ) as the optimizer with the initial learning rate 0.0001 and the batch size is set to 16 .,"[('used', (1, 2)), ('as', (9, 10)), ('with', (12, 13)), ('set to', (23, 25))]","[('adam ( Kingma and Ba 2014 )', (2, 9)), ('optimizer', (11, 12)), ('initial learning rate 0.0001', (14, 18)), ('batch size', (20, 22)), ('16', (25, 26))]",[],[],[],[]
experimental-setup,"As for the aggregation MLP , we set the size of the hidden layer as 2 times interaction feature length .","[('set', (7, 8)), ('of', (10, 11)), ('as', (14, 15))]","[('aggregation MLP', (3, 5)), ('size', (9, 10)), ('hidden layer', (12, 14)), ('2 times interaction feature length', (15, 20))]",[],[],[],[]
experimental-setup,Our models are implemented and trained by MXNet ( Chen et al. ) with a single NVIDIA TITAN Xp .,"[('implemented and trained by', (3, 7)), ('with', (13, 14))]","[('MXNet ( Chen et', (7, 11)), ('single NVIDIA TITAN Xp', (15, 19))]",[],[],[],[]
baselines,1 ) models based on feature engineering ;,"[('based on', (3, 5))]","[('feature engineering', (5, 7))]",[],[],[],[]
baselines,"2 ) Char - based deep models , and 3 ) Word - based deep models .",[],"[('Char - based deep models', (2, 7)), ('Word - based deep models', (11, 16))]",[],[],[],[]
results,Models based on feature engineering get the worst results on all the five datasets compared to the other methods .,"[('based on', (1, 3)), ('get', (5, 6)), ('on', (9, 10)), ('compared to', (14, 16))]","[('Models', (0, 1)), ('feature engineering', (3, 5)), ('worst results', (7, 9)), ('all the five datasets', (10, 14)), ('other methods', (17, 19))]",[],[],[],[]
results,Char - based models get the highest over all scores on the two Amazon datasets .,"[('get', (4, 5)), ('on', (10, 11))]","[('Char - based models', (0, 4)), ('highest over all scores', (6, 10)), ('two Amazon datasets', (12, 15))]",[],[],[],[]
results,"For the three char - based baselines , VDCNN gets the best performance on almost all the datasets because it has 29 convolutional layers allowing the model to learn more combinations of characters .","[('For', (0, 1)), ('gets', (9, 10)), ('on', (13, 14))]","[('three char - based baselines', (2, 7)), ('VDCNN', (8, 9)), ('best performance', (11, 13)), ('almost all the datasets', (14, 18))]",[],[],[],[]
results,Word - based baselines exceed the other variants on three datasets and lose on the two Amazon datasets .,"[('exceed', (4, 5)), ('on', (8, 9)), ('lose on', (12, 14))]","[('Word - based baselines', (0, 4)), ('other variants', (6, 8)), ('three datasets', (9, 11)), ('two Amazon datasets', (15, 18))]",[],[],[],[]
results,"For the five baselines , W.C Region Emb performs the best , because it learns the region embedding to utilize the N- grams feature from the text .","[('performs', (8, 9))]","[('W.C Region Emb', (5, 8)), ('best', (10, 11))]",[],[],[],[]
results,"It is clear to see that EXAM achieves the best performance over the three datasets : AG , Yah. A. and DBP .","[('achieves', (7, 8)), ('over', (11, 12))]","[('EXAM', (6, 7)), ('best performance', (9, 11)), ('three datasets', (13, 15)), ('AG', (16, 17)), ('Yah. A.', (18, 20)), ('DBP', (21, 22))]",[],[],[],[]
results,"For the Yah.A. , EXAM improves the best performance by 1.1 % .","[('For', (0, 1)), ('improves', (5, 6)), ('by', (9, 10))]","[('Yah.A.', (2, 3)), ('EXAM', (4, 5)), ('best performance', (7, 9)), ('1.1 %', (10, 12))]",[],[],[],[]
results,"Additionally , as a word - based model , EXAM beats all the word - based baselines on the other two Amazon datasets with a performance gain of 1.0 % on the Amazon Full , because our EXAM considers more fine - grained interaction features between classes and words , which is quite helpful in this task .","[('as', (2, 3)), ('beats', (10, 11)), ('on', (17, 18)), ('with', (23, 24)), ('of', (27, 28)), ('on', (30, 31))]","[('word - based model', (4, 8)), ('EXAM', (9, 10)), ('all the word - based baselines', (11, 17)), ('other two Amazon datasets', (19, 23)), ('performance gain', (25, 27)), ('1.0 %', (28, 30)), ('Amazon Full', (32, 34))]",[],[],[],[]
baselines,We built a model called EXAM Encoder to preserve only the Encoder component with a max pooling layer and FC layer to derive the final probabilities .,"[('built', (1, 2)), ('called', (4, 5)), ('to preserve', (7, 9)), ('with', (13, 14)), ('to derive', (21, 23))]","[('EXAM Encoder', (5, 7)), ('only the Encoder component', (9, 13)), ('max pooling layer and FC layer', (15, 21)), ('final probabilities', (24, 26))]",[],[],[],[]
experimental-setup,"We used the matrix trained by word2vec to initialize the embedding layer , and the embedding size is 256 .","[('used', (1, 2)), ('trained by', (4, 6)), ('to initialize', (7, 9)), ('is', (17, 18))]","[('matrix', (3, 4)), ('word2vec', (6, 7)), ('embedding layer', (10, 12)), ('embedding size', (15, 17)), ('256', (18, 19))]",[],[],[],[]
experimental-setup,"We adopted GRU as the Encoder , and each GRU Cell has 1,024 hidden states .","[('adopted', (1, 2)), ('as', (3, 4))]","[('GRU', (2, 3)), ('Encoder', (5, 6)), ('1,024', (12, 13))]",[],[],[],[]
experimental-setup,The accumulated MLP has 60 hidden units .,[],"[('accumulated MLP', (1, 3)), ('60 hidden units', (4, 7))]",[],[],[],[]
experimental-setup,We applied Adam to optimize models on one NVIDIA TITAN Xp with the batch size of 1000 and the initial learning rate is 0.001 .,"[('applied', (1, 2)), ('to optimize', (3, 5)), ('on', (6, 7)), ('with', (11, 12)), ('is', (22, 23))]","[('Adam', (2, 3)), ('models', (5, 6)), ('one NVIDIA TITAN Xp', (7, 11)), ('batch size of 1000', (13, 17)), ('initial learning rate', (19, 22)), ('0.001', (23, 24))]",[],[],[],[]
experimental-setup,The validation set is applied for early - stopping to avoid overfitting .,"[('applied for', (4, 6)), ('to avoid', (9, 11))]","[('validation set', (1, 3)), ('early - stopping', (6, 9)), ('overfitting', (11, 12))]",[],[],[],[]
experimental-setup,All hyperparameters are chosen empirically .,"[('chosen', (3, 4))]","[('hyperparameters', (1, 2)), ('empirically', (4, 5))]",[],[],[],[]
results,Word - based models are better than char - based models in Kanshan - Cup dataset .,"[('better than', (5, 7)), ('in', (11, 12))]","[('Word - based models', (0, 4)), ('char - based models', (7, 11)), ('Kanshan - Cup dataset', (12, 16))]",[],[],[],[]
results,"For word - based baseline models , all the baselines have similar performance which corroborates the conclusion in FastText ) that simple network is on par with deep learning classifiers in text classification .","[('For', (0, 1)), ('have', (10, 11)), ('on par with', (24, 27)), ('in', (30, 31))]","[('word - based baseline models', (1, 6)), ('all the baselines', (7, 10)), ('similar performance', (11, 13)), ('simple network', (21, 23)), ('deep learning classifiers', (27, 30)), ('text classification', (31, 33))]",[],[],[],[]
results,Our models achieve the state - of - the - art performance over two different datasets though we only slightly modified Text RNN to build EXAM .,"[('achieve', (2, 3)), ('over', (12, 13))]","[('Our models', (0, 2)), ('state - of - the - art performance', (4, 12)), ('two different datasets', (13, 16))]",[],[],[],[]
research-problem,A Corpus for Multilingual Document Classification in Eight Languages,[],"[('Multilingual Document Classification', (3, 6))]",[],[],[],[]
research-problem,Cross - lingual document classification aims at training a document classifier on resources in one language and transferring it to a different language without any additional resources .,[],"[('Cross - lingual document classification', (0, 5))]",[],[],[],[]
research-problem,There is a large body of research on approaches for document classification .,[],"[('document classification', (10, 12))]",[],[],[],[]
model,"We extend previous works and use the data in the Reuters Corpus Volume 2 to define new cross - lingual document classification tasks for eight very different languages , namely English , French , Spanish , Italian , German , Russian , Chinese and Japanese .","[('extend', (1, 2)), ('use', (5, 6)), ('in', (8, 9)), ('to define', (14, 16)), ('for', (23, 24)), ('namely', (29, 30))]","[('previous works', (2, 4)), ('data', (7, 8)), ('Reuters Corpus Volume 2', (10, 14)), ('new cross - lingual document classification tasks', (16, 23)), ('eight very different languages', (24, 28)), ('English', (30, 31)), ('French', (32, 33)), ('Spanish', (34, 35)), ('Italian', (36, 37)), ('German', (38, 39)), ('Russian', (40, 41)), ('Chinese', (42, 43)), ('Japanese', (44, 45))]",[],[],[],[]
results,Since the initial work by many alternative approaches to cross -lingual document classification have been developed .,[],"[('cross -lingual document classification', (9, 13))]",[],[],[],[]
baselines,"In this paper , we propose initial strong baselines which represent two complementary directions of research : one based on the aggregation of multilingual word embeddings , and another one , which directly learns multilingual sentence representations .","[('propose', (5, 6)), ('represent', (10, 11)), ('of', (14, 15)), ('based on', (18, 20)), ('of', (22, 23))]","[('initial strong baselines', (6, 9)), ('two complementary directions', (11, 14)), ('research', (15, 16)), ('aggregation', (21, 22)), ('multilingual word embeddings', (23, 26)), ('multilingual sentence representations', (34, 37))]",[],[],[],[]
results,"We will name this case "" zero - shot cross - lingual document classification "" .",[],"[('zero - shot cross - lingual document classification', (6, 14))]",[],[],[],[]
results,This type of cross - lingual document classification needs a very strong multilingual representation since no knowledge on the target language was used during the development of the classifier .,[],"[('cross - lingual document classification', (3, 8))]",[],[],[],[]
baselines,"We train a simple one - layer convolutional neural network ( CNN ) on top of the word embeddings , which has shown to perform well on text classification tasks regardless of training data size .","[('train', (1, 2)), ('on top of', (13, 16)), ('shown to', (22, 24))]","[('simple one - layer convolutional neural network ( CNN )', (3, 13)), ('word embeddings', (17, 19)), ('perform', (24, 25)), ('well', (25, 26))]",[],[],[],[]
ablation-analysis,"Specifically , convolutional filters are applied to windows of word embeddings , with a max - over - time pooling on top of them .","[('applied to', (5, 7)), ('of', (8, 9)), ('with', (12, 13)), ('on top of', (20, 23))]","[('convolutional filters', (2, 4)), ('windows', (7, 8)), ('word embeddings', (9, 11)), ('max - over - time pooling', (14, 20))]",[],[],[],[]
hyperparameters,"Hyper- parameters such as convolutional output dimension , window sizes are done by grid search over the Dev set of the same language as the train set .","[('such as', (2, 4)), ('done by', (11, 13)), ('over', (15, 16)), ('as', (23, 24))]","[('Hyper- parameters', (0, 2)), ('convolutional output dimension', (4, 7)), ('grid search', (13, 15)), ('Dev set of the same language', (17, 23)), ('train set', (25, 27))]",[],[],[],[]
results,A second direction of research is to directly learn multilingual sentence representations .,[],"[('multilingual sentence representations', (9, 12))]",[],[],[],[]
baselines,"In this paper , we evaluate a recently proposed technique to learn joint multilingual sentence representations .",[],"[('joint multilingual sentence representations', (12, 16))]",[],[],[],[]
results,"We have developed two versions of the system : one trained on the Europarl corpus to cover the languages English , German , French , Spanish and Italian , and another one trained on the United Nations corpus which allows to learn a joint sentence embedding for English , French , Spanish , Russian and Chinese .","[('developed', (2, 3)), ('of', (5, 6)), ('trained on', (10, 12)), ('to cover', (15, 17)), ('trained on', (32, 34)), ('allows to learn', (39, 42)), ('for', (46, 47))]","[('two versions', (3, 5)), ('Europarl corpus', (13, 15)), ('languages', (18, 19)), ('English', (19, 20)), ('United Nations corpus', (35, 38)), ('joint sentence embedding', (43, 46)), ('English', (47, 48))]",[],[],[],[]
ablation-analysis,We use a one hidden - layer MLP as classifier .,"[('use', (1, 2)), ('as', (8, 9))]","[('one hidden - layer MLP', (3, 8)), ('classifier', (9, 10))]",[],[],[],[]
results,"For comparison , we have evaluated its performance on the original subset of RCV2 as used in previous publications on cross - lingual document classification : we are able to outperform the current state - of - the - art in three out of six transfer directions .","[('evaluated', (5, 6)), ('on', (8, 9)), ('able to', (28, 30)), ('in', (40, 41))]","[('performance', (7, 8)), ('original subset of RCV2', (10, 14)), ('cross - lingual document classification', (20, 25)), ('outperform', (30, 31)), ('three out of six transfer directions', (41, 47))]",[],[],[],[]
results,Zero - shot cross - lingual document classification,[],[],[],[],[],[]
results,The classifiers based on the MultiCCA embeddings perform very well on the development corpus ( accuracies close or exceeding 90 % ) .,"[('based on', (2, 4)), ('perform', (7, 8)), ('on', (10, 11))]","[('classifiers', (1, 2)), ('MultiCCA embeddings', (5, 7)), ('very well', (8, 10)), ('development corpus', (12, 14)), ('accuracies', (15, 16)), ('close or exceeding 90 %', (16, 21))]",[],[],[],[]
results,"The system trained on English also achieves excellent results when transfered to a different languages , it scores best for three out of seven languages ( DE , IT and ZH ) .","[('trained on', (2, 4)), ('achieves', (6, 7)), ('when transfered to', (9, 12)), ('scores', (17, 18)), ('for', (19, 20))]","[('system', (1, 2)), ('English', (4, 5)), ('excellent results', (7, 9)), ('different languages', (13, 15)), ('best', (18, 19)), ('three out of seven languages ( DE , IT and ZH )', (20, 32))]",[],[],[],[]
results,The systems using multilingual sentence embeddings seem to be over all more robust and less language specific .,[],[],[],[],[],[]
results,Crosslingual transfer between very different languages like Chinese and Russian also achieves remarkable results .,[],"[('Crosslingual transfer between very different languages', (0, 6))]",[],[],[],[]
results,Targeted cross - lingual document classification,[],[],[],[],[],[]
research-problem,Disconnected Recurrent Neural Networks for Text Categorization,[],[],[],[],[],[]
research-problem,Recurrent neural network ( RNN ) has achieved remarkable performance in text categorization .,[],"[('text categorization', (11, 13))]",[],[],[],[]
research-problem,"Text categorization is a fundamental and traditional task in natural language processing ( NLP ) , which can be applied in various applications such as sentiment analysis , question classification and topic classification .",[],"[('Text categorization', (0, 2))]",[],[],[],[]
model,"In this paper , we incorporate positioninvariance into RNN and propose a novel model named Disconnected Recurrent Neural Network ( DRNN ) .","[('incorporate', (5, 6)), ('into', (7, 8)), ('propose', (10, 11)), ('named', (14, 15))]","[('positioninvariance', (6, 7)), ('RNN', (8, 9)), ('Disconnected Recurrent Neural Network ( DRNN )', (15, 22))]",[],[],[],[]
model,"To maintain the position - invariance , we utilize max pooling to extract the important information , which has been suggested by .","[('To maintain', (0, 2)), ('utilize', (8, 9)), ('to extract', (11, 13))]","[('position - invariance', (3, 6)), ('max pooling', (9, 11)), ('important information', (14, 16))]",[],[],[],[]
model,We also find that there is a trade - off between position - invariance and long - term dependencies in the DRNN .,"[('between', (10, 11)), ('in', (19, 20))]","[('trade - off', (7, 10)), ('position - invariance and long - term dependencies', (11, 19)), ('DRNN', (21, 22))]",[],[],[],[]
model,1 . We propose a novel model to incorporate position - variance into RNN .,"[('propose', (3, 4)), ('to incorporate', (7, 9)), ('into', (12, 13))]","[('novel model', (5, 7)), ('position - variance', (9, 12)), ('RNN', (13, 14))]",[],[],[],[]
model,"Based on this , we propose an empirical method to find the optimal window size .","[('propose', (5, 6)), ('to find', (9, 11))]","[('empirical method', (7, 9)), ('optimal window size', (12, 15))]",[],[],[],[]
experimental-setup,We tokenize all the corpus with NLTK 's tokenizer .,"[('tokenize', (1, 2)), ('with', (5, 6))]","[('all the corpus', (2, 5)), (""NLTK 's tokenizer"", (6, 9))]",[],[],[],[]
experimental-setup,"We utilize the 300D Glo Ve 840B vectors ( Pennington et al. , 2014 ) as our pre-trained word embeddings .","[('utilize', (1, 2)), ('as', (15, 16))]","[('300D Glo Ve 840B vectors', (3, 8)), ('pre-trained word embeddings', (17, 20))]",[],[],[],[]
experimental-setup,"We use Adadelta ( Zeiler , 2012 ) to optimize all the trainable parameters .","[('use', (1, 2)), ('to optimize', (8, 10))]","[('Adadelta ( Zeiler , 2012 )', (2, 8)), ('all the trainable parameters', (10, 14))]",[],[],[],[]
experimental-setup,The hyperparameter of Adadelta is set as Zeiler ( 2012 ) suggest that is 1 e ? 6 and ? is 0.95 .,"[('of', (2, 3)), ('set as', (5, 7)), ('suggest', (11, 12)), ('is', (20, 21))]","[('hyperparameter', (1, 2)), ('Adadelta', (3, 4)), ('Zeiler ( 2012 )', (7, 11)), ('1 e ? 6', (14, 18)), ('0.95', (21, 22))]",[],[],[],[]
experimental-setup,"To avoid the gradient explosion problem , we apply gradient norm clipping .","[('To avoid', (0, 2)), ('apply', (8, 9))]","[('gradient explosion problem', (3, 6)), ('gradient norm clipping', (9, 12))]",[],[],[],[]
experimental-setup,The batch size is set to 128 and all the dimensions of input vectors and hidden shows that our proposed model significantly outperforms all the other models in 7 datasets .,"[('set to', (4, 6)), ('of', (11, 12)), ('shows', (16, 17)), ('in', (27, 28))]","[('batch size', (1, 3)), ('128', (6, 7)), ('all the dimensions', (8, 11)), ('input vectors and hidden', (12, 16)), ('our proposed model', (18, 21)), ('significantly outperforms', (21, 23)), ('all the other models', (23, 27)), ('7 datasets', (28, 30))]",[],[],[],[]
results,Fast - Text and region embedding methods achieve comparable performance with other CNN and RNN based models .,"[('achieve', (7, 8)), ('with', (10, 11))]","[('Fast - Text and region embedding methods', (0, 7)), ('comparable performance', (8, 10)), ('other CNN and RNN based models', (11, 17))]",[],[],[],[]
baselines,The D - LSTM is a discriminative LSTM model .,"[('is', (4, 5))]","[('D - LSTM', (1, 4)), ('discriminative LSTM model', (6, 9))]",[],[],[],[]
baselines,Hierarchical attention network ( HAN ) is a hierarchical GRU model with attentive pooling .,"[('is', (6, 7)), ('with', (11, 12))]","[('Hierarchical attention network ( HAN )', (0, 6)), ('hierarchical GRU model', (8, 11)), ('attentive pooling', (12, 14))]",[],[],[],[]
results,We can see that very deep CNN ( VDCNN ) performs well in large datasets .,"[('see', (2, 3)), ('performs', (10, 11)), ('in', (12, 13))]","[('very deep CNN ( VDCNN )', (4, 10)), ('well', (11, 12)), ('large datasets', (13, 15))]",[],[],[],[]
results,"By contrast , our proposed model can achieve : DGRU compared with CNN better performance in these datasets by simply setting a large window size .","[('achieve', (7, 8)), ('compared with', (10, 12)), ('by', (18, 19))]","[('CNN better performance', (12, 15)), ('large window size', (22, 25))]",[],[],[],[]
baselines,Char-CRNN in the fourth block is a model which combines positioninvariance of CNN and long - term dependencies of RNN .,"[('combines', (9, 10)), ('of', (11, 12)), ('of', (18, 19))]","[('Char-CRNN', (0, 1)), ('positioninvariance', (10, 11)), ('CNN', (12, 13)), ('long - term dependencies', (14, 18)), ('RNN', (19, 20))]",[],[],[],[]
results,shows that our model achieves 10 - 50 % relative error reduction compared with char - CRNN in these datasets .,"[('shows', (0, 1)), ('achieves', (4, 5)), ('compared with', (12, 14))]","[('our model', (2, 4)), ('10 - 50 % relative error reduction', (5, 12)), ('char - CRNN', (14, 17))]",[],[],[],[]
results,Comparison with RNN and CNN,[],[],[],[],[],[]
results,shows that DRNN performs far better than CNN .,"[('shows', (0, 1)), ('performs', (3, 4)), ('than', (6, 7))]","[('DRNN', (2, 3)), ('far better', (4, 6)), ('CNN', (7, 8))]",[],[],[],[]
results,Our model DRNN achieves much better performance than GRU and LSTM .,"[('achieves', (3, 4)), ('than', (7, 8))]","[('Our model DRNN', (0, 3)), ('much better performance', (4, 7)), ('GRU and LSTM', (8, 11))]",[],[],[],[]
results,We find that the disconnected naive RNN performs just a little worse than disconnected LSTM ( DLSTM ) and disconnected GRU ( DGRU ) when the window size is lower than 5 .,"[('find that', (1, 3)), ('performs', (7, 8)), ('than', (12, 13)), ('when', (24, 25)), ('is', (28, 29))]","[('disconnected naive RNN', (4, 7)), ('disconnected LSTM ( DLSTM ) and disconnected GRU ( DGRU )', (13, 24)), ('window size', (26, 28)), ('lower than 5', (29, 32))]",[],[],[],[]
results,"DGRU achieves the best performance when the window size is 15 , while the best window size for DLSTM is 5 .","[('achieves', (1, 2)), ('when', (5, 6)), ('is', (9, 10)), ('for', (17, 18)), ('is', (19, 20))]","[('DGRU', (0, 1)), ('best performance', (3, 5)), ('window size', (7, 9)), ('15', (10, 11)), ('best window size', (14, 17)), ('DLSTM', (18, 19)), ('5', (20, 21))]",[],[],[],[]
results,We still conduct the experiments on AG dataset .,"[('on', (5, 6))]","[('AG dataset', (6, 8))]",[],[],[],[]
results,"From ( b ) , we can see that the DRNN model with max pooling performs better than the others .","[('see that', (7, 9)), ('with', (12, 13)), ('performs', (15, 16)), ('than', (17, 18))]","[('DRNN model', (10, 12)), ('max pooling', (13, 15)), ('better', (16, 17)), ('others', (19, 20))]",[],[],[],[]
results,We find attentive pooling is not significantly affected by window sizes .,"[('find', (1, 2)), ('not', (5, 6))]","[('attentive pooling', (2, 4)), ('window sizes', (9, 11))]",[],[],[],[]
results,Window size analysis,[],[],[],[],[],[]
research-problem,Investigating Capsule Networks with Dynamic Routing for Text Classification,[],[],[],[],[],[]
code,1 Codes are publicly available at : https : //github.com/andyweizhao/capsule_text_ classification .,[],"[('https : //github.com/andyweizhao/capsule_text_ classification', (7, 11))]",[],[],[],[]
research-problem,Modeling articles or sentences computationally is a fundamental topic in natural language processing .,[],"[('Modeling articles or sentences computationally', (0, 5))]",[],[],[],[]
model,It then hierarchically builds such pattern extraction pipelines at multiple levels .,"[('hierarchically builds', (2, 4)), ('at', (8, 9))]","[('pattern extraction pipelines', (5, 8)), ('multiple levels', (9, 11))]",[],[],[],[]
hyperparameters,"In the experiments , we use 300 - dimensional word2vec vectors to initialize embedding vectors .","[('use', (5, 6)), ('to initialize', (11, 13))]","[('300 - dimensional word2vec vectors', (6, 11)), ('embedding vectors', (13, 15))]",[],[],[],[]
hyperparameters,We conduct mini-batch with size 50 for AG 's news and size 25 for other datasets .,"[('conduct', (1, 2)), ('with', (3, 4)), ('for', (6, 7))]","[('mini-batch', (2, 3)), ('size 50', (4, 6)), (""AG 's news"", (7, 10)), ('size 25', (11, 13)), ('other datasets', (14, 16))]",[],[],[],[]
hyperparameters,We use Adam optimization algorithm with 1e - 3 learning rate to train the model .,"[('use', (1, 2)), ('with', (5, 6)), ('to train', (11, 13))]","[('Adam optimization algorithm', (2, 5)), ('1e - 3 learning rate', (6, 11)), ('model', (14, 15))]",[],[],[],[]
hyperparameters,We use 3 iteration of routing for all datasets since it optimizes the loss faster and converges to a lower loss at the end .,"[('use', (1, 2)), ('of', (4, 5)), ('for', (6, 7)), ('optimizes', (11, 12)), ('converges to', (16, 18))]","[('3 iteration', (2, 4)), ('routing', (5, 6)), ('all datasets', (7, 9)), ('loss', (13, 14)), ('lower loss', (19, 21))]",[],[],[],[]
baselines,"In the experiments , we evaluate and compare our model with several strong baseline methods including : LSTM / Bi - LSTM , tree - structured LSTM ( Tree - LSTM ) , LSTM regularized by linguistic knowledge ( LR - LSTM ) , CNNrand / CNN - static / CNN - non-static ( Kim , 2014 ) , very deep convolutional network ( VD - CNN ) , and character - level convolutional network ( CL - CNN ) .","[('evaluate', (5, 6)), ('including', (15, 16))]","[('several strong baseline methods', (11, 15)), ('LSTM / Bi - LSTM', (17, 22)), ('tree - structured LSTM ( Tree - LSTM )', (23, 32)), ('LSTM regularized by linguistic knowledge ( LR - LSTM )', (33, 43)), ('CNNrand / CNN - static / CNN - non-static', (44, 53)), ('very deep convolutional network ( VD - CNN )', (59, 68)), ('character - level convolutional network ( CL - CNN )', (70, 80))]",[],[],[],[]
results,"From the results , we observe that the capsule networks achieve best results on 4 out of 6 benchmarks , which verifies the effectiveness of the capsule networks .","[('observe', (5, 6)), ('achieve', (10, 11)), ('on', (13, 14)), ('verifies', (21, 22))]","[('capsule networks', (8, 10)), ('best results', (11, 13)), ('4 out of 6 benchmarks', (14, 19)), ('effectiveness', (23, 24))]",[],[],[],[]
research-problem,Deep Joint Entity Disambiguation with Local Neural Attention,[],"[('Deep Joint Entity Disambiguation', (0, 4))]",[],[],[],[]
research-problem,Entity disambiguation ( ED ) is an important stage in text understanding which automatically resolves references to entities in a given knowledge base ( KB ) .,[],"[('Entity disambiguation ( ED )', (0, 5))]",[],[],[],[]
